user_id,variant,pre_signup_value,device,country,converted,revenue,experiment_notes
1,treatment,18.5,mobile,VN,0,0.0,
2,treatment,33.95,,MY,1,21.93,
3,control,40.41,mobile,PH,0,0.0,
4,treatment,38.34,desktop,MY,0,0.0,
5,treatment,39.33,mobile,SG,0,0.0,
6,treatment,12.89,desktop,ID,0,0.0,
7,control,32.22,mobile,ID,0,0.0,
8,treatment,87.22,mobile,VN,0,0.0,
9,control,8.39,desktop,PH,0,0.0,
10,treatment,,mobile,ID,0,0.0,
11,treatment,13.4,desktop,PH,0,0.0,
12,control,26.93,mobile,MY,0,0.0,
13,treatment,18.42,mobile,VN,0,0.0,
14,treatment,3.78,mobile,PH,0,0.0,
15,control,38.84,mobile,SG,1,18.83,
16,treatment,31.77,,SG,0,0.0,
17,treatment,21.96,mobile,MY,0,0.0,
18,control,8.11,mobile,SG,0,0.0,
19,control,7.99,desktop,SG,0,0.0,
20,control,25.9,mobile,MY,0,0.0,
21,control,6.02,,MY,0,0.0,
22,control,23.51,mobile,ID,0,0.0,
23,treatment,21.53,desktop,SG,1,25.02,
24,control,62.59,mobile,SG,1,13.37,
25,treatment,30.37,desktop,MY,0,0.0,
26,control,37.39,desktop,SG,0,0.0,
27,control,22.49,desktop,MY,0,0.0,
28,control,55.96,,PH,0,0.0,
29,treatment,17.01,mobile,VN,0,0.0,
30,control,32.87,mobile,SG,0,0.0,
31,control,37.18,mobile,ID,0,0.0,
32,treatment,17.24,desktop,SG,0,0.0,
33,control,48.16,mobile,SG,1,33.75,
34,control,3.68,desktop,PH,0,0.0,
35,treatment,49.84,mobile,SG,0,0.0,
36,treatment,14.53,desktop,SG,0,0.0,
37,control,63.15,mobile,MY,0,0.0,
38,control,22.61,desktop,VN,0,0.0,
39,treatment,44.21,desktop,VN,0,0.0,
40,control,47.2,mobile,PH,0,0.0,
41,treatment,54.17,desktop,ID,0,0.0,
42,control,2.02,mobile,SG,0,0.0,
43,treatment,0.68,mobile,SG,0,0.0,
44,treatment,50.16,mobile,ID,0,0.0,
